zil-additional-service  | 
zil-additional-service  | 2026-05-06T22:13:20.785Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.stats count=44 sumNanos=146536 avgNanos=3330
zil-additional-service  | 2026-05-06T22:13:20.788Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.stats count=44 sumNanos=32936862982 avgNanos=748565067
zil-additional-service  | 2026-05-06T22:13:20.788Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.clients count=2 sumNanos=27620386567 avgNanos=13810193283
zil-additional-service  | 2026-05-06T22:13:20.788Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.rents count=44 sumNanos=3895934244 avgNanos=88543960
zil-additional-service  | 2026-05-06T22:13:20.788Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=1 sumNanos=587445015 avgNanos=587445015
zil-additional-service  | 2026-05-06T22:13:25.261Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.ClientCacheService  : [client-cache-statistics] Client cache size=166465
zil-additional-service  | 2026-05-06T22:13:25.278Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.CarCacheService     : [car-cache-statistics] Car cache size=1000
zil-additional-service  | 2026-05-06T22:13:25.789Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.stats count=102 sumNanos=258148 avgNanos=2530
zil-additional-service  | 2026-05-06T22:13:25.789Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.stats count=102 sumNanos=18003031557 avgNanos=176500309
zil-additional-service  | 2026-05-06T22:13:25.790Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.clients count=1 sumNanos=10201111250 avgNanos=10201111250
zil-additional-service  | 2026-05-06T22:13:25.790Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.rents count=102 sumNanos=7150543239 avgNanos=70103365
zil-additional-service  | 2026-05-06T22:13:25.790Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.stats count=103 sumNanos=303853 avgNanos=2950
zil-additional-service  | 2026-05-06T22:13:25.790Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.stats count=103 sumNanos=36894764265 avgNanos=358201594
zil-additional-service  | 2026-05-06T22:13:25.790Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.clients count=2 sumNanos=27620386567 avgNanos=13810193283
zil-additional-service  | 2026-05-06T22:13:25.790Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.rents count=103 sumNanos=7846982259 avgNanos=76184293
zil-additional-service  | 2026-05-06T22:13:25.790Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.cars count=1 sumNanos=587445015 avgNanos=587445015
zil-additional-service  | 2026-05-06T22:13:25.790Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.stats count=103 sumNanos=303853 avgNanos=2950
zil-additional-service  | 2026-05-06T22:13:25.790Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.stats count=103 sumNanos=36894764265 avgNanos=358201594
zil-additional-service  | 2026-05-06T22:13:25.790Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.clients count=2 sumNanos=27620386567 avgNanos=13810193283
zil-additional-service  | 2026-05-06T22:13:25.791Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.rents count=103 sumNanos=7846982259 avgNanos=76184293
zil-additional-service  | 2026-05-06T22:13:25.791Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=1 sumNanos=587445015 avgNanos=587445015
zil-additional-service  | 2026-05-06T22:13:30.792Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.stats count=100 sumNanos=261195 avgNanos=2611
zil-additional-service  | 2026-05-06T22:13:30.792Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.stats count=100 sumNanos=6050258644 avgNanos=60502586
zil-additional-service  | 2026-05-06T22:13:30.793Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.rents count=100 sumNanos=6042148763 avgNanos=60421487
zil-additional-service  | 2026-05-06T22:13:30.793Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.stats count=144 sumNanos=407731 avgNanos=2831
zil-additional-service  | 2026-05-06T22:13:30.793Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.stats count=144 sumNanos=38987121626 avgNanos=270743900
zil-additional-service  | 2026-05-06T22:13:30.793Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.clients count=2 sumNanos=27620386567 avgNanos=13810193283
zil-additional-service  | 2026-05-06T22:13:30.793Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.rents count=144 sumNanos=9938083007 avgNanos=69014465
zil-additional-service  | 2026-05-06T22:13:30.793Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.cars count=1 sumNanos=587445015 avgNanos=587445015
zil-additional-service  | 2026-05-06T22:13:30.794Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.stats count=144 sumNanos=407731 avgNanos=2831
zil-additional-service  | 2026-05-06T22:13:30.794Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.stats count=144 sumNanos=38987121626 avgNanos=270743900
zil-additional-service  | 2026-05-06T22:13:30.794Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.clients count=2 sumNanos=27620386567 avgNanos=13810193283
zil-additional-service  | 2026-05-06T22:13:30.794Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.rents count=144 sumNanos=9938083007 avgNanos=69014465
zil-additional-service  | 2026-05-06T22:13:30.794Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=1 sumNanos=587445015 avgNanos=587445015
zil-additional-service  | 2026-05-06T22:13:35.261Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.ClientCacheService  : [client-cache-statistics] Client cache size=166465
zil-additional-service  | 2026-05-06T22:13:35.278Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.CarCacheService     : [car-cache-statistics] Car cache size=1000
zil-additional-service  | 2026-05-06T22:13:35.795Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.stats count=96 sumNanos=223540 avgNanos=2328
